                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5754,                 9.0198,                 3.3197,                0.00435,                0.59691,                 0.1409,                 0.0747,                 3.2524,                 7.6139,                 3.4435,             0.00054761,             0.00054761,             0.00054761
                      2,                 3.4122,                 7.4863,                 3.2525,                0.69285,                0.17192,                0.15881,                0.06713,                  4.028,                 7.1125,                 4.1042,              0.0010924,              0.0010924,              0.0010924
                      3,                 3.6297,                 6.6377,                 3.3694,                0.62392,                0.11624,                 0.1726,                0.08414,                 3.9035,                 8.3561,                 4.1611,              0.0016261,              0.0016261,              0.0016261
                      4,                 3.6333,                 5.8135,                 3.3968,                0.20974,                0.29505,                0.15767,                0.07287,                 4.0295,                 6.3572,                  4.315,              0.0016175,              0.0016175,              0.0016175
                      5,                 3.5608,                  5.414,                 3.3355,                 0.7085,                0.25728,                0.25454,                0.10025,                 3.5931,                 8.1468,                 3.6594,               0.001601,               0.001601,               0.001601
                      6,                  3.437,                  4.878,                 3.1958,                0.34538,                 0.4116,                0.33251,                0.17546,                 3.3443,                  4.405,                 3.2959,              0.0015845,              0.0015845,              0.0015845
                      7,                  3.457,                 4.6169,                 3.2152,                0.45388,                0.41863,                0.36005,                0.19317,                 3.2823,                 4.5511,                 3.2977,               0.001568,               0.001568,               0.001568
                      8,                 3.3584,                 4.3796,                 3.1412,                0.35271,                0.46068,                0.33155,                0.17996,                 3.2285,                 4.2199,                 3.2513,              0.0015515,              0.0015515,              0.0015515
                      9,                 3.2571,                  4.152,                 3.0918,                0.34809,                0.51434,                0.38896,                0.21559,                  3.179,                 4.1965,                 3.0893,               0.001535,               0.001535,               0.001535
                     10,                 3.3394,                 4.1825,                 3.1317,                0.40978,                0.44483,                0.35384,                0.17428,                 3.2963,                 3.8123,                 3.2352,              0.0015185,              0.0015185,              0.0015185
                     11,                 3.2832,                 4.0441,                  3.068,                0.50021,                0.50276,                0.46971,                0.25674,                 3.1852,                 3.7671,                 3.0323,               0.001502,               0.001502,               0.001502
                     12,                 3.0911,                 3.7394,                 2.9478,                0.39524,                0.52857,                0.43331,                0.26128,                 3.0482,                 3.2722,                 3.0317,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.1016,                 3.7245,                 2.9752,                0.38946,                0.49902,                0.40828,                0.23132,                 3.0739,                 3.4528,                 2.9742,               0.001469,               0.001469,               0.001469
                     14,                 3.1857,                 3.6861,                 3.0116,                0.47964,                0.47795,                0.44817,                0.25981,                 3.0991,                 3.5681,                 3.0979,              0.0014525,              0.0014525,              0.0014525
                     15,                 3.1341,                 3.6195,                 3.0058,                0.45355,                0.56164,                0.47258,                 0.2792,                 3.0674,                 3.1271,                 3.0006,               0.001436,               0.001436,               0.001436
                     16,                 3.0913,                 3.4971,                 2.9614,                0.55359,                0.58447,                0.57237,                0.34726,                 2.8947,                  2.871,                  2.896,              0.0014195,              0.0014195,              0.0014195
                     17,                 3.0392,                 3.4073,                 2.9456,                0.49485,                0.55674,                0.51464,                0.29246,                 3.0007,                 2.9733,                 3.0198,              0.0014029,              0.0014029,              0.0014029
                     18,                 3.0379,                 3.3075,                  2.922,                0.68612,                 0.4618,                0.55936,                0.32148,                  3.138,                  2.964,                  3.077,              0.0013864,              0.0013864,              0.0013864
                     19,                 3.0481,                 3.3489,                 2.9295,                0.58422,                0.59185,                0.56826,                0.32661,                 3.0487,                 2.8094,                 2.9467,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.9617,                 3.2141,                 2.8483,                0.53596,                 0.4947,                0.50793,                0.30428,                 2.8703,                  2.804,                  2.948,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.9642,                 3.1771,                 2.8509,                0.53509,                0.65452,                 0.5901,                0.32768,                 3.1177,                 2.8662,                 3.0522,              0.0013369,              0.0013369,              0.0013369
